heuristic,metric,k,rmse,mae
proposed_heuristic,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",0,17.665851117744733,17.66483911833782
first_fit_proposal,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",0,21.255254687317315,21.254341317135147
idw,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",1,27.689328170256488,27.686111111111114
idw,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",2,20.72291140397985,20.720542710312426
idw,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",4,20.51027269382325,20.509357949454614
idw,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",8,19.498313649099156,19.49686171532752
idw,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",16,24.29071144575941,24.29030884229988
idw,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",32,28.767079358170985,28.76670248487684
knn,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",1,27.689328170256488,27.686111111111114
knn,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",2,19.541293515328302,19.538888888888888
knn,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",4,19.820379036778768,19.819444444444446
knn,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",8,19.298818451407328,19.29652777777778
knn,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",16,26.20993337233227,26.209548611111106
knn,"PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",32,31.907113544743936,31.906684027777786
proposed_heuristic,RADIACAO GLOBAL (Kj/m²),0,115.83642222389442,91.72820781664576
first_fit_proposal,RADIACAO GLOBAL (Kj/m²),0,127.9610060523815,106.73509642460442
idw,RADIACAO GLOBAL (Kj/m²),1,202.78860609083117,157.9055555555556
idw,RADIACAO GLOBAL (Kj/m²),2,144.61026451021834,116.70844138948151
idw,RADIACAO GLOBAL (Kj/m²),4,141.20328334950102,120.57258589008084
idw,RADIACAO GLOBAL (Kj/m²),8,181.4914693636581,141.08987259258367
idw,RADIACAO GLOBAL (Kj/m²),16,158.31582313517137,120.36829816750013
idw,RADIACAO GLOBAL (Kj/m²),32,137.74277490990664,105.50917158567377
knn,RADIACAO GLOBAL (Kj/m²),1,202.78860609083117,157.9055555555556
knn,RADIACAO GLOBAL (Kj/m²),2,143.33966942456587,114.50833333333337
knn,RADIACAO GLOBAL (Kj/m²),4,144.6670767943333,122.76111111111116
knn,RADIACAO GLOBAL (Kj/m²),8,208.81938191311357,163.19027777777782
knn,RADIACAO GLOBAL (Kj/m²),16,162.52900202892306,123.88420138888887
knn,RADIACAO GLOBAL (Kj/m²),32,133.0754341096501,108.56501736111109
proposed_heuristic,TEMPERATURA DO PONTO DE ORVALHO (°C),0,1.4350252677431186,1.2407962268387391
first_fit_proposal,TEMPERATURA DO PONTO DE ORVALHO (°C),0,1.8896099791814756,1.7156939614922024
idw,TEMPERATURA DO PONTO DE ORVALHO (°C),1,2.999847519470002,2.805555555555556
idw,TEMPERATURA DO PONTO DE ORVALHO (°C),2,2.182730693323867,1.984498605647591
idw,TEMPERATURA DO PONTO DE ORVALHO (°C),4,1.6971297999781951,1.5172573519313213
idw,TEMPERATURA DO PONTO DE ORVALHO (°C),8,1.6171671437866957,1.4670649297396097
idw,TEMPERATURA DO PONTO DE ORVALHO (°C),16,1.7430414011103395,1.625207414484973
idw,TEMPERATURA DO PONTO DE ORVALHO (°C),32,1.9161193961393301,1.7727581392575136
knn,TEMPERATURA DO PONTO DE ORVALHO (°C),1,2.999847519470002,2.805555555555556
knn,TEMPERATURA DO PONTO DE ORVALHO (°C),2,2.051377168711298,1.8513888888888885
knn,TEMPERATURA DO PONTO DE ORVALHO (°C),4,1.5897434568845183,1.4013888888888888
knn,TEMPERATURA DO PONTO DE ORVALHO (°C),8,1.5694841042268457,1.423958333333333
knn,TEMPERATURA DO PONTO DE ORVALHO (°C),16,1.774557056681817,1.6659722222222222
knn,TEMPERATURA DO PONTO DE ORVALHO (°C),32,2.060688383216469,1.8840277777777779
proposed_heuristic,"UMIDADE RELATIVA DO AR, HORARIA (%)",0,13.214550560112949,11.843281430611023
first_fit_proposal,"UMIDADE RELATIVA DO AR, HORARIA (%)",0,15.168998986372088,13.763992809035486
idw,"UMIDADE RELATIVA DO AR, HORARIA (%)",1,17.759480998775263,16.416666666666668
idw,"UMIDADE RELATIVA DO AR, HORARIA (%)",2,15.671587935664256,14.3140208384549
idw,"UMIDADE RELATIVA DO AR, HORARIA (%)",4,12.966855565094628,11.676853973977723
idw,"UMIDADE RELATIVA DO AR, HORARIA (%)",8,11.48922814360627,10.37173213758341
idw,"UMIDADE RELATIVA DO AR, HORARIA (%)",16,11.526946445738881,10.357652403123145
idw,"UMIDADE RELATIVA DO AR, HORARIA (%)",32,12.130292272275943,10.806808673746817
knn,"UMIDADE RELATIVA DO AR, HORARIA (%)",1,17.759480998775263,16.416666666666668
knn,"UMIDADE RELATIVA DO AR, HORARIA (%)",2,15.202999450363777,13.819444444444445
knn,"UMIDADE RELATIVA DO AR, HORARIA (%)",4,12.391643442463158,11.173611111111109
knn,"UMIDADE RELATIVA DO AR, HORARIA (%)",8,11.075078545050332,9.98611111111111
knn,"UMIDADE RELATIVA DO AR, HORARIA (%)",16,11.362355756172457,10.192708333333334
knn,"UMIDADE RELATIVA DO AR, HORARIA (%)",32,12.5378262774149,11.332465277777779
proposed_heuristic,"VENTO, VELOCIDADE HORARIA (m/s)",0,1.586575765594296,1.4970078065071541
first_fit_proposal,"VENTO, VELOCIDADE HORARIA (m/s)",0,1.8873582520188528,1.7649639110215647
idw,"VENTO, VELOCIDADE HORARIA (m/s)",1,1.6501730289784218,1.3972222222222224
idw,"VENTO, VELOCIDADE HORARIA (m/s)",2,1.5598794380409327,1.4547381701297084
idw,"VENTO, VELOCIDADE HORARIA (m/s)",4,2.067413287523706,1.9984771505101528
idw,"VENTO, VELOCIDADE HORARIA (m/s)",8,1.724213892837911,1.6569128805174997
idw,"VENTO, VELOCIDADE HORARIA (m/s)",16,1.7303534771878357,1.6680337644509635
idw,"VENTO, VELOCIDADE HORARIA (m/s)",32,1.6446461948068969,1.5773330634563176
knn,"VENTO, VELOCIDADE HORARIA (m/s)",1,1.6501730289784218,1.3972222222222224
knn,"VENTO, VELOCIDADE HORARIA (m/s)",2,1.5675997187625905,1.4652777777777777
knn,"VENTO, VELOCIDADE HORARIA (m/s)",4,2.153475182825185,2.086111111111111
knn,"VENTO, VELOCIDADE HORARIA (m/s)",8,1.6888104103724457,1.6173611111111112
knn,"VENTO, VELOCIDADE HORARIA (m/s)",16,1.7054462677895648,1.6392361111111111
knn,"VENTO, VELOCIDADE HORARIA (m/s)",32,1.5796446052134308,1.5067708333333332
